"screen_name","user_id","created_at","status_id","text","retweet_count","favorite_count","is_quote_status","quote_status_id","is_retweet","retweet_status_id","in_reply_to_status_status_id","in_reply_to_status_user_id","in_reply_to_status_screen_name","lang","source","media_id","media_url","media_url_expanded","urls","urls_display","urls_expanded","mentions_screen_name","mentions_user_id","symbols","hashtags","coordinates","place_id","place_type","place_name","place_full_name","country_code","country","bounding_box_coordinates","bounding_box_type"
"nnohemm","138213741",2017-06-08 01:57:26,"872633637593853952","#CunitaYankee....esa cunita de cart<U+00F3>n a precio d cuna de oro! Q estafa parrr favaaaarrr! https://t.co/DwQSicMDwL",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"es","Twitter for Android","872633632975986688","http://pbs.twimg.com/media/DBw3qnCXoAALS9u.jpg","https://twitter.com/nnohemm/status/872633637593853952/photo/1",NA,NA,NA,NA,NA,NA,"CunitaYankee",NA,NA,NA,NA,NA,NA,NA,NA,NA
"teoyra","408923281",2017-06-08 01:57:13,"872633580664623108","Sin dudas....#CunitaYankee  #ElPlanCristina 
#OctubreFinPRO https://t.co/4r0RCrAwVq",0,0,TRUE,"872472107862700032",FALSE,NA,NA,NA,NA,"es","Twitter Web Client",NA,NA,NA,NA,"twitter.com/HouseDotor/sta<U+2026>","https://twitter.com/HouseDotor/status/872472107862700032",NA,NA,NA,"CunitaYankee ElPlanCristina OctubreFinPRO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"tercomedina","415806201",2017-06-08 01:56:54,"872633501622956032","#CunitaYankee ... Si claro kumpa. Segu<U+00ED> haciendo la V de VACIARON el pa<U+00ED>s. https://t.co/BVO13DPxfT",1,0,FALSE,NA,FALSE,NA,NA,NA,NA,"es","Twitter Web Client","872633160852537350","http://pbs.twimg.com/media/DBw3PIPXgAYXd2D.jpg","https://twitter.com/tercomedina/status/872633501622956032/photo/1",NA,NA,NA,NA,NA,NA,"CunitaYankee",NA,NA,NA,NA,NA,NA,NA,NA,NA
"umanacional","4645143022",2017-06-08 01:55:48,"872633227227398144","Queremos #ElPlanCristina
#CunitaYankee https://t.co/uUdbFAmYR7",0,0,TRUE,"872606010552315906",FALSE,NA,NA,NA,NA,"es","Twitter for Android",NA,NA,NA,NA,"twitter.com/ConclusionRos/<U+2026>","https://twitter.com/ConclusionRos/status/872606010552315906",NA,NA,NA,"ElPlanCristina CunitaYankee",NA,NA,NA,NA,NA,NA,NA,NA,NA
"FutbolParaTonto","444268346",2017-06-08 01:54:45,"872632959840473089","La #CunitaYankee del hijo del Jardinero
#MiercolesIntratable https://t.co/B9zRtLRiVM",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"es","Twitter Web Client","872632614183632896","http://pbs.twimg.com/media/DBw2vTvWAAAwozI.jpg","https://twitter.com/FutbolParaTonto/status/872632959840473089/photo/1",NA,NA,NA,NA,NA,NA,"CunitaYankee MiercolesIntratable",NA,NA,NA,NA,NA,NA,NA,NA,NA
"mariprin2","1450373304",2017-06-08 01:54:36,"872632925749207040","@SalaDePrensaNet #CunitaYankee #ElPlanDeCristina  CARRIO YA  SE  ESTA  DESPIDIENDO DE CAMBIEMOS .....SON PAT<U+00C9>TICOS  <f0><U+009F><U+0091><U+008E><f0><U+009F><U+0091><U+008E>",2,2,FALSE,NA,FALSE,NA,"872630981697703937","270998081","SalaDePrensaNet","es","Twitter Web Client",NA,NA,NA,NA,NA,NA,"SalaDePrensaNet","270998081",NA,"CunitaYankee ElPlanDeCristina",NA,NA,NA,NA,NA,NA,NA,NA,NA
"FutbolParaTonto","444268346",2017-06-08 01:52:35,"872632416640401410","Hab<U+00ED>a una exPresidenta que AMABA m<U+00E1>s los DOLARES que el dinero de SU PAIS... tanto que los ESCONDIA en su #CunitaYankee
#MiercolesIntratable https://t.co/XgjA0wQcPR",0,1,FALSE,NA,FALSE,NA,NA,NA,NA,"es","Twitter Web Client","872631951160745984","http://pbs.twimg.com/media/DBw2ItyXoAA6YGV.jpg","https://twitter.com/FutbolParaTonto/status/872632416640401410/photo/1",NA,NA,NA,NA,NA,NA,"CunitaYankee MiercolesIntratable",NA,NA,NA,NA,NA,NA,NA,NA,NA
"BastaDiktaduraK","858316878",2017-06-08 01:52:00,"872632270317920256","FIRMA: Que los funcionarios bajen sus sueldos para contribuir a la recuperaci<U+00F3>n econ<U+00F3>mica. #CunitaYankee... https://t.co/JMSvEGkSrg",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"es","Facebook",NA,NA,NA,NA,"fb.me/3HX7d8Tap","http://fb.me/3HX7d8Tap",NA,NA,NA,"CunitaYankee",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MilaMilatich93","836981992495398912",2017-06-08 01:51:49,"872632222611898369","Las Qunitas de Cristina al lado de las #CunitaYankee son un all inclusive! 
El pelotudismo argentino alaban a estas <U+00FA>ltimas claro est<U+00E1>!",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"es","Twitter for iPhone",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CunitaYankee",NA,NA,NA,NA,NA,NA,NA,NA,NA
"DoYouLoveMe666","130950872",2017-06-08 01:51:01,"872632021952212994","""No me preocupa que Cristina sea candidata""
By Fatiga 
Se te hace agua el orto...!!!
#CunitaYankee
#ElPlanCristina https://t.co/CBR8sSlIJ0",5,18,FALSE,NA,FALSE,NA,NA,NA,NA,"es","Twitter Web Client","872631984283144193","http://pbs.twimg.com/media/DBw2KpLXUAEK6Gw.jpg","https://twitter.com/DoYouLoveMe666/status/872632021952212994/photo/1",NA,NA,NA,NA,NA,NA,"CunitaYankee ElPlanCristina",NA,"018f1cde6bad9747","city","Ciudad Aut<U+00F3>noma de Buenos Aires","Ciudad Aut<U+00F3>noma de Buenos Aires, Argentina","AR","Argentina","-58.5317922 -58.353494 -58.353494 -58.5317922 -34.674453 -34.674453 -34.534177 -34.534177","Polygon"
