"screen_name","user_id","created_at","status_id","text","retweet_count","favorite_count","is_quote_status","quote_status_id","is_retweet","retweet_status_id","in_reply_to_status_status_id","in_reply_to_status_user_id","in_reply_to_status_screen_name","lang","source","media_id","media_url","media_url_expanded","urls","urls_display","urls_expanded","mentions_screen_name","mentions_user_id","symbols","hashtags","coordinates","place_id","place_type","place_name","place_full_name","country_code","country","bounding_box_coordinates","bounding_box_type"
"Otaibiii7","2718383352",2017-07-21 03:31:42,"888240037128687616","Believe in yourself,Always.",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"en","Twitter for iPhone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00dccb9a408d4464","city","<U+0627><U+0644><U+0635><U+0628><U+0627><U+062D><U+064A><U+0647>","<U+0627><U+0644><U+0635><U+0628><U+0627><U+062D><U+064A><U+0647>, <U+062F><U+0648><U+0644><U+0629> <U+0627><U+0644><U+0643><U+0648><U+064A><U+062A>","KW","<U+062F><U+0648><U+0644><U+0629> <U+0627><U+0644><U+0643><U+0648><U+064A><U+062A>","48.093136 48.093136 48.11806 48.11806 29.090615 29.121753 29.121753 29.090615","Polygon"
"moryelhabashy","730899319977607168",2017-07-21 03:31:42,"888240039246909441","<U+0645><U+0634> <U+0647><U+0639><U+064A><U+0634> <U+0645><U+0646> <U+063A><U+064A><U+0631> <U+0639><U+0646><U+064A><U+0643><U+064A> <U+0645><U+0634> <U+0647><U+0639><U+064A><U+0634> <U+0645><U+0639> <U+062D><U+0628> <U+062A><U+0627><U+0646><U+064A> <f0><U+009F><U+0099><U+0087><f0><U+009F><U+008F><U+00BB><U+200D><U+2640><U+FE0F>",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"ar","Twitter for iPhone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01e6470a596910ae","admin","El Gharbia","El Gharbia, Egypt","EG","Egypt","30.746413 30.746413 31.310229 31.310229 30.575139 31.158353 31.158353 30.575139","Polygon"
"emadalrefaei","1565472104",2017-07-21 03:31:43,"888240041989988352","@lloreaIl https://t.co/l1KQWVJvqe",0,0,FALSE,NA,FALSE,NA,NA,"3236462941","lloreaIl","und","Twitter for iPhone","888240030505762816","http://pbs.twimg.com/tweet_video_thumb/DFOpmgWUAAAKRXI.jpg","https://twitter.com/emadalrefaei/status/888240041989988352/photo/1",NA,NA,NA,"lloreaIl","3236462941",NA,NA,NA,"000799c66e428a87","city","<U+062C><U+062F><U+0629>","<U+062C><U+062F><U+0629>, <U+0627><U+0644><U+0645><U+0645><U+0644><U+0643><U+0629> <U+0627><U+0644><U+0639><U+0631><U+0628><U+064A><U+0629> <U+0627><U+0644><U+0633><U+0639><U+0648><U+062F><U+064A><U+0629>","SA","<U+0627><U+0644><U+0645><U+0645><U+0644><U+0643><U+0629> <U+0627><U+0644><U+0639><U+0631><U+0628><U+064A><U+0629> <U+0627><U+0644><U+0633><U+0639><U+0648><U+062F><U+064A><U+0629>","38.929659 38.929659 39.578598 39.578598 20.913775 22.257646 22.257646 20.913775","Polygon"
"951Bosha","3270031992",2017-07-21 03:31:43,"888240043441238016","https://t.co/AnrS09CmSr

<U+0645><U+0627><U+0634><U+0627><U+0621> <U+0627><U+0644><U+0644><U+0647> 
<U+0627><U+0644><U+0644><U+0647> <U+064A><U+062D><U+0641><U+0638><U+0647><U+0627> <U+0648><U+064A><U+0631><U+0632><U+0642><U+0643> <U+0628><U+0631><U+0647><U+0627>
<U+062A><U+062C><U+0646><U+0646> <U+0639><U+0644><U+0627><U+0642><U+062A><U+0647><U+0645> <U+062A><U+0628><U+0627><U+0631><U+0643> <U+0627><U+0644><U+0631><U+062D><U+0645><U+0646><U+2764><U+FE0F>",0,0,TRUE,"888164349092802561",FALSE,NA,NA,NA,NA,"ar","Twitter for iPhone",NA,NA,NA,NA,"twitter.com/almajdchannels…","https://twitter.com/almajdchannels/status/888164349092802561",NA,NA,NA,NA,NA,"015370b145fe9c9f","admin","<U+0645><U+0643><U+0629> <U+0627><U+0644><U+0645><U+0643><U+0631><U+0645><U+0629>","<U+0645><U+0643><U+0629> <U+0627><U+0644><U+0645><U+0643><U+0631><U+0645><U+0629>, <U+0627><U+0644><U+0645><U+0645><U+0644><U+0643><U+0629> <U+0627><U+0644><U+0639><U+0631><U+0628><U+064A><U+0629> <U+0627><U+0644><U+0633><U+0639><U+0648><U+062F><U+064A><U+0629>","SA","<U+0627><U+0644><U+0645><U+0645><U+0644><U+0643><U+0629> <U+0627><U+0644><U+0639><U+0631><U+0628><U+064A><U+0629> <U+0627><U+0644><U+0633><U+0639><U+0648><U+062F><U+064A><U+0629>","38.629207 38.629207 43.645527 43.645527 18.666432 24.003026 24.003026 18.666432","Polygon"
"7t6l1x","784827015815979008",2017-07-21 03:31:44,"888240045873811460","https://t.co/P4cT66Y4wl",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"und","Twitter for iPhone","888240040714788864","http://pbs.twimg.com/media/DFOpnGYVYAA-DqM.jpg","https://twitter.com/7t6l1x/status/888240045873811460/photo/1",NA,NA,NA,NA,NA,NA,NA,NA,"b62cd77425868341","country","Iraq","Iraq","IQ","Iraq","38.794701 38.794701 48.575908 48.575908 29.07171 37.37804 37.37804 29.07171","Polygon"
"3A_j_18","846448577052336129",2017-07-21 03:31:44,"888240048348438528","<U+0627><U+0644><U+0644><U+0647><U+0645> <U+0627><U+0646><U+064A> <U+0627><U+0633><U+0627><U+0644><U+0643> <U+0632><U+064A><U+0627><U+062F><U+0629><U+064B> <U+0641><U+064A> <U+0627><U+0644><U+062F><U+064A><U+0646> 
<U+0648><U+0628><U+0631><U+0643><U+0629><U+064B> <U+0641><U+064A> <U+0627><U+0644><U+0639><U+0645><U+0631> <U+0648><U+0635><U+062D><U+0629><U+064B> <U+0641><U+064A> <U+0627><U+0644><U+062C><U+0633><U+062F> 
  <U+0648><U+0633><U+0639><U+0629><U+064B> <U+0641><U+064A> <U+0627><U+0644><U+0631><U+0632><U+0642> <U+0648><U+062A><U+0648><U+0628><U+0629> <U+0642><U+0628><U+0644> <U+0627><U+0644><U+0645><U+0648><U+062A>
<f0><U+009F><U+0092><U+00AD><U+2764><U+FE0F>",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"ar","Twitter for iPhone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"000799c66e428a87","city","<U+062C><U+062F><U+0629>","<U+062C><U+062F><U+0629>, <U+0627><U+0644><U+0645><U+0645><U+0644><U+0643><U+0629> <U+0627><U+0644><U+0639><U+0631><U+0628><U+064A><U+0629> <U+0627><U+0644><U+0633><U+0639><U+0648><U+062F><U+064A><U+0629>","SA","<U+0627><U+0644><U+0645><U+0645><U+0644><U+0643><U+0629> <U+0627><U+0644><U+0639><U+0631><U+0628><U+064A><U+0629> <U+0627><U+0644><U+0633><U+0639><U+0648><U+062F><U+064A><U+0629>","38.929659 38.929659 39.578598 39.578598 20.913775 22.257646 22.257646 20.913775","Polygon"
"al3jmi26x","4236725002",2017-07-21 03:31:47,"888240057328553984","<U+062C><U+0628><U+064A> <U+0627><U+0646><U+062A><U+064A> <U+0645> <U+0643><U+0641><U+0648><f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+0082> https://t.co/VGuL7k69bL",0,0,TRUE,"888239850373120004",FALSE,NA,NA,NA,NA,"ar","Twitter for iPhone",NA,NA,NA,NA,"twitter.com/aklenzi2/statu…","https://twitter.com/aklenzi2/status/888239850373120004",NA,NA,NA,NA,NA,"01c725bf5425ae10","city","<U+0645><U+0628><U+0627><U+0631><U+0643> <U+0627><U+0644><U+0643><U+0628><U+064A><U+0631>","<U+0645><U+0628><U+0627><U+0631><U+0643> <U+0627><U+0644><U+0643><U+0628><U+064A><U+0631>, <U+062F><U+0648><U+0644><U+0629> <U+0627><U+0644><U+0643><U+0648><U+064A><U+062A>","KW","<U+062F><U+0648><U+0644><U+0629> <U+0627><U+0644><U+0643><U+0648><U+064A><U+062A>","48.064351 48.064351 48.101809 48.101809 29.175087 29.198362 29.198362 29.175087","Polygon"
"al_mqdad","810764198",2017-07-21 03:31:47,"888240060683997184","<U+064A><U+0627><U+0631><U+0628> <U+0625><U+0646><U+0627> <U+0639><U+0627><U+062C><U+0632><U+0648><U+0646> <U+0639><U+0646> <U+0646><U+0635><U+0631><U+062A><U+0647><U+0645> <U+0627><U+0644><U+0644><U+0647><U+0645> <U+0625><U+0646><U+0627> <U+0646><U+0628><U+0631><U+0623> <U+0625><U+0644><U+064A><U+0643> <U+0645><U+0646> <U+062A><U+0642><U+0635><U+064A><U+0631><U+0646><U+0627> <U+0648><U+0638><U+0644><U+0645> <U+0627><U+0644><U+0637><U+063A><U+0627><U+0629> <U+0627><U+0644><U+0644><U+0647><U+0645> <U+0627><U+0646><U+0635><U+0631><U+0647><U+0645> <U+0641><U+0645><U+0646> <U+0644><U+0647><U+0645> <U+0625><U+0644><U+0627> <U+0623><U+0646><U+062A> <U+064A><U+0627> <U+0627><U+0644><U+0644><U+0647> #<U+0627><U+0644><U+0645><U+0633><U+062C><U+062F>_<U+0627><U+0644><U+0623><U+0642><U+0635><U+0649>",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"ar","Twitter for iPhone",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<U+0627><U+0644><U+0645><U+0633><U+062C><U+062F>_<U+0627><U+0644><U+0623><U+0642><U+0635><U+0649>",NA,"01bf5c1e56ac186d","city","<U+0627><U+0644><U+0631><U+064A><U+0627><U+0636>","<U+0627><U+0644><U+0631><U+064A><U+0627><U+0636>, <U+0627><U+0644><U+0645><U+0645><U+0644><U+0643><U+0629> <U+0627><U+0644><U+0639><U+0631><U+0628><U+064A><U+0629> <U+0627><U+0644><U+0633><U+0639><U+0648><U+062F><U+064A><U+0629>","SA","<U+0627><U+0644><U+0645><U+0645><U+0644><U+0643><U+0629> <U+0627><U+0644><U+0639><U+0631><U+0628><U+064A><U+0629> <U+0627><U+0644><U+0633><U+0639><U+0648><U+062F><U+064A><U+0629>","46.304398 46.304398 47.065756 47.065756 24.332068 25.111819 25.111819 24.332068","Polygon"
"MoetBlindCat","3222072558",2017-07-21 03:31:47,"888240061338206208","@catsrule0 @hugo4de @fluffybasil @ElDiabloZoe @jinksthecat1 @JethroKitty @Betty_Boo_Kat @Curly_Eared_Cat… https://t.co/IinzGg8W42",0,0,FALSE,NA,FALSE,NA,"888082212645740544","49229990","catsrule0","en","Twitter Web Client",NA,NA,NA,NA,"twitter.com/i/web/status/8…","https://twitter.com/i/web/status/888240061338206208","catsrule0 hugo4de fluffybasil ElDiabloZoe jinksthecat1 JethroKitty Betty_Boo_Kat Curly_Eared_Cat","49229990 1974823152 3129247180 733445252175007744 3928797280 737045251903361025 2739179087 3014611630",NA,NA,NA,"ec1d87074d3793f0","country","Oman","Oman","OM","Oman","51.992195 51.992195 59.839323 59.839323 16.639561 26.388488 26.388488 16.639561","Polygon"
"TwitatMakkah","2988476195",2017-07-21 03:31:48,"888240062277722112","https://t.co/S1hsGPmYC1",0,0,FALSE,NA,FALSE,NA,NA,NA,NA,"und","Twitter for iPhone","888240036398944256","http://pbs.twimg.com/media/DFOpm2TW0AA8pWm.jpg","https://twitter.com/TwitatMakkah/status/888240062277722112/photo/1",NA,NA,NA,NA,NA,NA,NA,NA,"013b9bf533e221d0","city","<U+0645><U+0643><U+0629> <U+0627><U+0644><U+0645><U+0643><U+0631><U+0645><U+0629>","<U+0645><U+0643><U+0629> <U+0627><U+0644><U+0645><U+0643><U+0631><U+0645><U+0629>, <U+0627><U+0644><U+0645><U+0645><U+0644><U+0643><U+0629> <U+0627><U+0644><U+0639><U+0631><U+0628><U+064A><U+0629> <U+0627><U+0644><U+0633><U+0639><U+0648><U+062F><U+064A><U+0629>","SA","<U+0627><U+0644><U+0645><U+0645><U+0644><U+0643><U+0629> <U+0627><U+0644><U+0639><U+0631><U+0628><U+064A><U+0629> <U+0627><U+0644><U+0633><U+0639><U+0648><U+062F><U+064A><U+0629>","39.571438 39.571438 40.031935 40.031935 21.165831 21.613835 21.613835 21.165831","Polygon"
