,countryCode,lang_abbr,lang_fullname
1,AD,ca,French
2,AE,ar,Arabic
3,AF,"ps,uz,tk",Turkish
4,AG,en,English
5,AI,en,English
6,AL,sq,Albanian
7,AM,"hy,ru",Armenian
8,AO,pt,Portuguese
9,AQ,,NA
10,AR,"es,gn",Spanish
11,AS,"en,sm",English
12,AT,de,German
13,AU,en,English
14,AW,"nl,pa",Dutch
15,AX,sv,Swedish
16,AZ,az,Azerbaijani
17,BA,"bs,hr,sr",Bosnian
18,BB,en,English
19,BD,bn,Bengali
20,BE,"nl,fr",Dutch
21,BF,"fr,ff",French
22,BG,bg,Bulgarian
23,BH,ar,Arabic
24,BI,"fr,rn",French
25,BJ,fr,French
26,BL,fr,French
27,BM,en,English
28,BN,ms,Malay
29,BO,"es,ay,qu",Spanish
30,BQ,nl,Dutch
31,BR,pt,Portuguese
32,BS,en,English
33,BT,dz,Dzongkha
34,BV,,NA
35,BW,"en,tn",English
36,BY,"be,ru",Belarusian
37,BZ,"en,es",English
38,CA,"en,fr",English
39,CC,en,English
40,CD,"fr,ln,kg,sw,lu",French
41,CF,"fr,sg",French
42,CG,"fr,ln",French
43,CH,"de,fr,it",German
44,CI,fr,French
45,CK,en,English
46,CL,es,Spanish
47,CM,"en,fr",English
48,CN,zh,Chinese
49,CO,es,Spanish
50,CR,es,Spanish
51,CU,es,Spanish
52,CV,pt,Portuguese
53,CW,"nl,pa,en",Dutch
54,CX,en,English
55,CY,"el,tr,hy",Greek
56,CZ,"cs,sk",Czech
57,DE,de,German
58,DJ,"fr,ar",French
59,DK,da,Danish
60,DM,en,English
61,DO,es,Spanish
62,DZ,ar,Arabic
63,EC,es,Spanish
64,EE,et,Estonian
65,EG,ar,Arabic
66,EH,es,Spanish
67,ER,"ti,ar,en",Tigrinya
68,ES,"es,eu,ca,gl,oc",Spanish
69,ET,am,Amharic
70,FI,"fi,sv",Finnish
71,FJ,"en,fj,hi,ur",English
72,FK,en,English
73,FM,en,English
74,FO,fo,Faroese
75,FR,fr,French
76,GA,fr,French
77,GB,en,English
78,GD,en,English
79,GE,ka,Georgian
80,GF,fr,French
81,GG,"en,fr",English
82,GH,en,English
83,GI,en,English
84,GL,kl,Kalaallisut; Greenlandic
85,GM,en,English
86,GN,"fr,ff",French
87,GP,fr,French
88,GQ,"es,fr",Spanish
89,GR,el,Greek
90,GS,en,English
91,GT,es,Spanish
92,GU,"en,ch,es",English
93,GW,pt,Portuguese
94,GY,en,English
95,HK,"zh,en",Chinese
96,HM,en,English
97,HN,es,Spanish
98,HR,hr,Croatian
99,HT,"fr,ht",French
100,HU,hu,Hungarian
101,ID,id,Indonesian
102,IE,"ga,en",Irish
103,IL,"he,ar",Hebrew
104,IM,"en,gv",English
105,IN,"hi,en",Hindi
106,IO,en,English
107,IQ,"ar,ku",Arabic
108,IR,fa,Persian
109,IS,is,Icelandic
110,IT,it,Italian
111,JE,"en,fr",English
112,JM,en,English
113,JO,ar,Arabic
114,JP,ja,Japanese
115,KE,"en,sw",NA
116,KG,"ky,ru",Kirghiz
117,KH,km,Central Khmer
118,KI,en,English
119,KM,"ar,fr",Arabic
120,KN,en,English
121,KP,ko,Korean
122,KR,ko,Korean
123,KW,ar,Arabic
124,KY,en,English
125,KZ,"kk,ru",Kazakh
126,LA,lo,Lao
127,LB,"ar,fr",Arabic
128,LC,en,English
129,LI,de,German
130,LK,"si,ta",Sinhala
131,LR,en,English
132,LS,"en,st",English
133,LT,lt,Lithuanian
134,LU,"fr,de,lb",French
135,LV,lv,Latvian
136,LY,ar,Arabic
137,MA,ar,Arabic
138,MC,fr,French
139,MD,ro,Romanian
140,ME,"sr,bs,sq,hr",Serbian
141,MF,"en,fr,nl",English
142,MG,"fr,mg",French
143,MH,"en,mh",English
144,MK,mk,Macedonian
145,ML,fr,French
146,MM,my,Burmese
147,MN,mn,Mongolian
148,MO,"zh,pt",Chinese
149,MP,"en,ch",English
150,MQ,fr,French
151,MR,ar,Arabic
152,MS,en,English
153,MT,"mt,en",Maltese
154,MU,en,English
155,MV,dv,Divehi
156,MW,"en,ny",English
157,MX,es,Spanish
158,MY,,NA
159,MZ,pt,Portuguese
160,NA,"en,af",English
161,NC,fr,French
162,NE,fr,French
163,NF,en,English
164,NG,en,English
165,NI,es,Spanish
166,NL,nl,Dutch; Flemish
167,NO,no,Norwegian
168,NP,ne,Nepali
169,NR,"en,na",NA
170,NU,en,English
171,NZ,"en,mi",English
172,OM,ar,Arabic
173,PA,es,Spanish
174,PE,es,Spanish
175,PF,fr,French
176,PG,en,English
177,PH,en,English
178,PK,"en,ur",English
179,PL,pl,Polish
180,PM,fr,French
181,PN,en,English
182,PR,"es,en",Spanish
183,PS,ar,Arabic
184,PT,pt,Portuguese
185,PW,en,English
186,PY,"es,gn",Spanish
187,QA,ar,Arabic
188,RE,fr,French
189,RO,ro,Romanian; Moldavian; Moldovan
190,RS,sr,Serbian
191,RU,ru,Russian
192,RW,"rw,en,fr",Kinyarwanda
193,SA,ar,Arabic
194,SB,en,English
195,SC,"fr,en",French
196,SD,"ar,en",Arabic
197,SE,sv,Swedish
198,SG,"en,ms,ta,zh",English
